A+,A-,B+,B-,AB+,AB-,O+,O-,Minimum Requirement
27,7,40,22,8,10,1,7,
14,7,16,2,11,30,4,7,
23,2,21,16,7,38,22,6,
3,5,24,2,0,73,0,3,
24,0,3,5,20,87,21,5,
30,5,35,39,3,84,3,12,
32,3,14,42,4,44,11,4,
8,3,70,12,12,49,7,3,
33,6,56,42,26,12,23,17,
9,2,47,14,16,40,2,9,
25,4,59,17,26,79,8,7,
34,7,27,19,12,62,27,3,
28,3,24,30,3,54,23,1,
34,6,12,12,20,40,26,3,
40,3,3,19,15,22,3,16,
39,4,96,0,24,16,16,15,
14,6,81,34,22,1,1,1,
4,6,6,18,1,15,7,13,
31,3,52,16,9,79,10,6,
26,1,63,45,19,35,10,17,
21,7,38,45,9,44,17,12,
40,4,48,10,19,21,21,17,
21,5,51,46,12,22,14,16,
0,4,92,10,0,44,17,0,
18,2,17,42,18,16,4,15,
20,6,9,21,5,49,20,14,
28,3,61,28,13,82,1,12,
23,0,42,13,20,44,31,6,
2,3,15,29,20,13,28,7,
41,0,5,31,13,77,13,11,
4,4,3,45,8,22,32,3,
37,6,9,9,22,54,30,8,
5,1,93,29,10,58,16,13,
16,0,55,4,4,46,21,7,
14,0,68,13,17,18,31,13,
20,3,22,46,1,41,18,17,
24,1,65,38,17,3,17,2,
13,4,68,38,5,17,18,15,
1,1,14,0,1,18,15,8,
19,0,61,14,8,60,17,6,
14,7,8,10,8,23,25,12,
2,4,44,26,15,49,31,12,
34,0,0,7,21,26,21,7,
17,2,27,11,11,60,29,17,
0,4,11,31,1,13,32,6,
0,7,15,24,22,65,22,11,
15,0,73,38,6,23,4,18,
12,7,11,19,26,73,29,0,
15,5,20,45,2,61,17,3,
14,7,89,9,18,3,2,8,
22,0,5,31,13,93,24,16,
25,7,56,26,16,31,12,16,
5,0,76,22,22,77,2,13,
3,0,61,4,5,74,32,9,
41,7,5,24,11,56,7,2,
13,5,54,0,25,18,32,11,
34,2,36,32,0,39,12,7,
15,2,69,34,5,51,14,3,
21,4,43,30,3,81,7,7,
25,7,93,12,19,44,14,7,
31,6,29,1,23,23,25,18,
7,7,9,26,7,6,27,11,
13,7,37,13,23,40,20,11,
41,0,32,6,23,10,14,0,
17,7,64,44,12,51,19,17,
13,2,1,8,17,66,23,11,
15,1,39,13,20,34,12,13,
39,4,36,27,7,63,23,10,
41,5,64,24,26,23,9,14,
12,7,27,45,14,42,26,18,
5,4,14,26,7,18,0,13,
17,1,34,21,12,82,9,16,
9,2,27,0,20,72,25,2,
23,1,32,36,17,54,29,15,
10,2,85,43,15,1,19,0,
17,7,16,0,20,31,18,1,
0,6,88,32,12,12,19,12,
36,1,19,23,26,91,18,4,
21,0,9,19,11,94,11,7,
24,3,67,14,9,13,18,14,
34,3,11,13,20,27,26,4,
32,6,64,24,25,33,22,10,
38,4,3,13,22,50,26,18,
20,3,84,14,5,14,2,5,
5,6,67,39,12,42,11,0,
34,5,0,32,26,4,13,18,
39,5,38,9,0,90,23,5,
24,1,69,31,14,15,10,9,
12,7,3,16,20,58,5,14,
14,7,48,41,3,38,5,2,
40,1,41,35,12,68,10,10,
27,5,24,6,2,52,32,2,
32,2,86,45,18,76,21,11,
3,1,88,12,12,50,23,2,
35,5,9,38,5,12,4,2,
36,2,22,12,10,68,22,3,
19,2,80,30,4,6,22,18,
13,3,54,42,9,65,7,5,
1,6,74,20,18,19,13,8,
25,5,7,26,26,91,19,13,
